Foods
Date,Calories In
"2018-06-27","0"
"2018-06-28","0"
"2018-06-29","0"
"2018-06-30","0"
"2018-07-01","0"
"2018-07-02","0"
"2018-07-03","0"
"2018-07-04","0"
"2018-07-05","0"
"2018-07-06","0"
"2018-07-07","0"
"2018-07-08","0"
"2018-07-09","0"
"2018-07-10","0"
"2018-07-11","0"
"2018-07-12","0"
"2018-07-13","0"
"2018-07-14","0"
"2018-07-15","0"
"2018-07-16","0"
"2018-07-17","0"
"2018-07-18","0"
"2018-07-19","0"
"2018-07-20","0"
"2018-07-21","0"
"2018-07-22","0"
"2018-07-23","0"
"2018-07-24","0"
"2018-07-25","0"
"2018-07-26","0"
"2018-07-27","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-06-27","2,145","0","0","0","1,440","0","0","0","0"
"2018-06-28","2,145","0","0","0","1,440","0","0","0","0"
"2018-06-29","2,180","0","0","0","1,437","3","0","0","39"
"2018-06-30","2,145","0","0","0","1,440","0","0","0","0"
"2018-07-01","3,090","4,714","2.22","4","1,005","232","0","0","1,125"
"2018-07-02","2,204","172","0.08","0","1,024","12","0","0","67"
"2018-07-03","2,144","0","0","0","1,440","0","0","0","0"
"2018-07-04","2,183","0","0","0","1,438","2","0","0","42"
"2018-07-05","2,153","0","0","0","1,439","1","0","0","10"
"2018-07-06","2,144","0","0","0","1,440","0","0","0","0"
"2018-07-07","3,275","6,775","3.2","4","1,050","133","52","14","1,289"
"2018-07-08","3,149","5,221","2.46","5","821","215","11","3","1,196"
"2018-07-09","3,476","6,694","3.16","6","673","240","9","11","1,457"
"2018-07-10","3,562","7,253","3.42","5","790","228","4","21","1,530"
"2018-07-11","3,553","6,997","3.3","7","701","214","21","14","1,495"
"2018-07-12","3,750","7,520","3.55","1","576","294","0","0","1,787"
"2018-07-13","3,641","7,432","3.51","1","798","206","32","27","1,627"
"2018-07-14","3,622","11,239","5.3","10","709","203","39","35","1,770"
"2018-07-15","3,315","6,077","2.87","10","654","169","29","20","1,354"
"2018-07-16","4,037","10,551","4.98","4","714","204","51","47","2,084"
"2018-07-17","3,760","8,377","3.95","12","646","258","8","25","1,803"
"2018-07-18","3,509","7,504","3.54","4","754","222","20","3","1,502"
"2018-07-19","3,993","9,484","4.47","4","1,116","243","57","24","2,093"
"2018-07-20","3,110","6,680","3.15","3","1,262","136","28","14","1,172"
"2018-07-21","3,983","12,279","5.79","10","569","184","37","83","2,162"
"2018-07-22","3,883","13,418","6.33","19","839","210","16","69","2,015"
"2018-07-23","3,553","9,203","4.34","5","748","204","23","31","1,597"
"2018-07-24","3,510","9,215","4.35","6","1,203","193","15","29","1,551"
"2018-07-25","3,069","5,666","2.67","8","1,253","176","4","7","1,062"
"2018-07-26","3,864","12,467","5.88","10","704","214","11","58","1,962"
"2018-07-27","4,618","16,306","7.73","18","634","244","29","111","2,832"

Food Log 20180627
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180628
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180629
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180630
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180701
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180702
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180703
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180704
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180705
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180706
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180707
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180708
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180709
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180710
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180711
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20180712
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
