Foods
Date,Calories In
"2018-10-28","0"
"2018-10-29","0"
"2018-10-30","0"
"2018-10-31","0"
"2018-11-01","0"
"2018-11-02","0"
"2018-11-03","2,037"
"2018-11-04","2,069"
"2018-11-05","2,159"
"2018-11-06","600"
"2018-11-07","1,471"
"2018-11-08","0"
"2018-11-09","807"
"2018-11-10","2,276"
"2018-11-11","0"
"2018-11-12","0"
"2018-11-13","0"
"2018-11-14","0"
"2018-11-15","0"
"2018-11-16","0"
"2018-11-17","0"
"2018-11-18","0"
"2018-11-19","0"
"2018-11-20","0"
"2018-11-21","0"
"2018-11-22","0"
"2018-11-23","0"
"2018-11-24","0"
"2018-11-25","0"
"2018-11-26","0"
"2018-11-27","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-10-28","4,450","19,956","9.41","9","632","239","52","112","2,834"
"2018-10-29","3,566","12,544","5.92","8","665","192","8","66","1,774"
"2018-10-30","3,572","14,794","6.98","14","771","170","8","93","1,817"
"2018-10-31","4,147","16,992","8.01","3","604","212","34","85","2,418"
"2018-11-01","3,448","15,134","7.14","11","698","164","12","80","1,689"
"2018-11-02","4,126","15,924","7.51","27","487","213","23","93","2,361"
"2018-11-03","4,174","15,388","7.26","5","662","265","19","85","2,466"
"2018-11-04","4,578","21,302","10.05","11","561","256","62","99","2,907"
"2018-11-05","3,710","13,441","6.36","8","666","168","14","85","1,918"
"2018-11-06","3,801","14,300","6.74","16","659","176","7","88","1,939"
"2018-11-07","3,681","13,664","6.46","9","566","172","4","82","1,882"
"2018-11-08","4,137","15,542","7.33","26","716","238","15","86","2,436"
"2018-11-09","4,445","16,732","7.99","14","698","126","31","131","2,671"
"2018-11-10","3,863","13,636","7.04","16","589","219","3","77","2,115"
"2018-11-11","4,264","17,761","8.36","129","486","299","47","76","2,717"
"2018-11-12","3,444","10,184","4.82","19","651","244","14","40","1,705"
"2018-11-13","3,202","10,330","4.87","16","615","199","10","26","1,376"
"2018-11-14","3,081","7,598","3.58","15","835","214","8","12","1,250"
"2018-11-15","3,815","12,360","5.9","10","644","203","7","69","2,082"
"2018-11-16","3,780","12,286","5.73","13","576","281","31","42","2,114"
"2018-11-17","4,548","20,395","10.06","31","464","347","54","90","3,077"
"2018-11-18","4,832","25,512","12","23","450","269","53","154","3,373"
"2018-11-19","3,697","11,993","5.56","17","502","255","34","43","2,062"
"2018-11-20","3,966","15,527","7.27","13","810","196","11","96","2,260"
"2018-11-21","3,738","11,079","5.16","4","582","328","9","33","2,101"
"2018-11-22","4,494","16,705","7.84","177","522","284","18","115","2,868"
"2018-11-23","3,325","9,602","4.53","16","660","269","23","12","1,619"
"2018-11-24","4,098","17,004","9.2","23","532","217","13","100","2,428"
"2018-11-25","3,005","6,921","3.26","11","614","281","3","6","1,306"
"2018-11-26","3,364","10,563","5.64","20","587","210","10","42","1,605"
"2018-11-27","3,726","13,420","6.29","7","650","196","12","78","2,027"

Food Log 20181028
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20181029
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20181030
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20181031
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20181101
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20181102
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20181103
Meal,Food,Calories
"Lunch"
"","Meatballs, Italian Style","520"
"","Bangkok Peanut Dipping Sauce","133"
"","Flour Tortillas","200"
"Afternoon Snack"
"","Crunchy Chickpeas, Salted Caramel","260"
"","Organic Blackberry Hibiscus Chia Vitality Beverage","120"
"Dinner"
"","Whole Milk","113"
"","Cabernet Sauvignon Wine","176"
"","Cheeseburger","273"
"","Ground Beef, Broiled, 95% Lean","242"
"Daily Totals"
"","Calories","2,037"
"","Fat","76 g"
"","Fiber","13 g"
"","Carbs","187 g"
"","Sodium","4,628 mg"
"","Protein","94 g"
"","Water","0 fl oz"

Food Log 20181104
Meal,Food,Calories
"Lunch"
"","Delifresh, Turkey Breast, Honey Smoked","199"
"","Barbecue Sauce, Sweet Golden Mustard","83"
"","Muenster Cheese","180"
"Afternoon Snack"
"","Red Wine","180"
"","Lemon Bar","200"
"","Intense Dark Squares, Sea Salt Soiree","105"
"","Pepperoni Slices","263"
"","Crunchy Chickpeas, Salted Caramel","390"
"Dinner"
"","Chunky, Savory Pot Roast","240"
"","Spaghetti with Meat Sauce","229"
"Daily Totals"
"","Calories","2,069"
"","Fat","77 g"
"","Fiber","17 g"
"","Carbs","235 g"
"","Sodium","6,550 mg"
"","Protein","99 g"
"","Water","0 fl oz"

Food Log 20181105
Meal,Food,Calories
"Breakfast"
"","Bacon & Egg on Flour","250"
"Lunch"
"","Jasmine Long Grain Rice","320"
"","Pulled Pork","421"
"Dinner"
"","Pulled Pork","421"
"","Jasmine Long Grain Rice","320"
"After Dinner"
"","Low Sodium Lightly Salted","97"
"","Roasted and Salted Peanuts","290"
"","Sea Salt & Almond Mini Chocolate","40"
"Daily Totals"
"","Calories","2,159"
"","Fat","81 g"
"","Fiber","8 g"
"","Carbs","260 g"
"","Sodium","3,263 mg"
"","Protein","95 g"
"","Water","0 fl oz"

Food Log 20181106
